Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
15,Rent,848464.0,10+ years,0.0,9.0,18.4,296186.0,0.0,,0.0,debt consolidation,Short Term,145134.0,41439.0,12939.0,727.0,0
16,Rent,,7 years,0.0,6.0,17.8,899492.0,0.0,,0.0,debt consolidation,Long Term,313038.0,538346.0,18844.0,,1
17,Home Mortgage,3361898.0,3 years,0.0,14.0,28.5,1042096.0,0.0,,0.0,debt consolidation,Long Term,498872.0,689396.0,52249.0,644.0,1
18,Home Mortgage,1401744.0,2 years,0.0,9.0,29.0,387222.0,0.0,40.0,0.0,debt consolidation,Long Term,553586.0,201989.0,13434.0,695.0,1
19,Rent,1020072.0,2 years,0.0,6.0,12.5,199078.0,0.0,,0.0,debt consolidation,Short Term,309672.0,120517.0,14451.0,712.0,1
20,Home Mortgage,1651993.0,10+ years,0.0,11.0,26.5,663894.0,0.0,44.0,0.0,debt consolidation,Long Term,585090.0,252852.0,8742.0,697.0,0
21,Home Mortgage,1047394.0,6 years,0.0,7.0,34.4,401104.0,0.0,45.0,0.0,debt consolidation,Short Term,324852.0,183597.0,7786.0,719.0,1
22,Rent,463790.0,,0.0,6.0,28.3,288442.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,157700.0,5063.0,738.0,0
23,Own Home,,10+ years,0.0,17.0,14.8,700040.0,0.0,17.0,0.0,debt consolidation,Short Term,174878.0,168074.0,17132.0,,1
24,Own Home,,,0.0,12.0,25.0,1216336.0,0.0,61.0,0.0,debt consolidation,Short Term,467676.0,818311.0,37530.0,,0
25,Rent,1353142.0,10+ years,0.0,3.0,29.8,1231912.0,0.0,,0.0,other,Short Term,108042.0,1036279.0,22225.0,720.0,0
26,Home Mortgage,951425.0,2 years,0.0,20.0,15.8,748880.0,0.0,,0.0,other,Short Term,66110.0,285874.0,17046.0,742.0,0
27,Rent,1004055.0,8 years,0.0,7.0,14.5,328394.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,195966.0,6041.0,734.0,0
28,Home Mortgage,711094.0,10+ years,0.0,12.0,19.5,533808.0,0.0,,0.0,debt consolidation,Short Term,155782.0,262314.0,13807.0,740.0,0
29,Rent,,10+ years,0.0,9.0,18.6,186494.0,0.0,6.0,0.0,debt consolidation,Short Term,357918.0,72808.0,22352.0,,1
30,Rent,612750.0,7 years,0.0,8.0,14.0,225016.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,147687.0,6128.0,719.0,0
31,Own Home,1289796.0,10+ years,0.0,11.0,20.5,845548.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,640433.0,26549.0,708.0,0
32,Home Mortgage,1526840.0,10+ years,0.0,19.0,25.0,1303082.0,0.0,14.0,0.0,debt consolidation,Short Term,265188.0,495178.0,28247.0,726.0,1
33,Home Mortgage,,< 1 year,0.0,13.0,21.0,101464.0,0.0,11.0,0.0,other,Short Term,79464.0,60287.0,14003.0,,1
34,Rent,1899050.0,3 years,0.0,6.0,10.2,802692.0,0.0,,0.0,take a trip,Short Term,43978.0,550430.0,21839.0,722.0,0
35,Rent,,< 1 year,0.0,9.0,31.4,1457104.0,0.0,32.0,0.0,buy a car,Short Term,155474.0,254201.0,7020.0,,0
36,Home Mortgage,,6 years,0.0,8.0,14.5,409222.0,0.0,14.0,0.0,other,Long Term,667458.0,206758.0,18846.0,,1
37,Rent,,5 years,0.0,13.0,18.0,608652.0,0.0,,0.0,debt consolidation,Short Term,122936.0,221825.0,10806.0,,1
38,Rent,1395645.0,6 years,0.0,15.0,17.6,1480182.0,0.0,75.0,0.0,debt consolidation,Short Term,120670.0,58805.0,10200.0,750.0,0
39,Home Mortgage,852017.0,7 years,3.0,12.0,7.6,337722.0,3.0,,0.0,debt consolidation,Short Term,175384.0,160417.0,21868.0,727.0,1
40,Rent,709821.0,10+ years,0.0,13.0,23.7,339724.0,0.0,65.0,0.0,debt consolidation,Long Term,246004.0,198341.0,14670.0,670.0,1
41,Rent,1350349.0,10+ years,0.0,20.0,15.0,763422.0,0.0,10.0,0.0,debt consolidation,Short Term,241230.0,306584.0,9014.0,721.0,0
42,Own Home,,4 years,0.0,22.0,10.9,625042.0,0.0,28.0,0.0,debt consolidation,Long Term,326810.0,300675.0,13844.0,,1
43,Home Mortgage,,10+ years,0.0,10.0,9.4,348678.0,0.0,,0.0,debt consolidation,Short Term,191136.0,165927.0,12031.0,,1
44,Have Mortgage,1334256.0,10+ years,0.0,17.0,15.4,380052288.0,1.0,35.0,0.0,take a trip,Short Term,33110.0,656450.0,34357.0,729.0,0
45,Home Mortgage,,10+ years,0.0,10.0,21.4,1104554.0,1.0,,1.0,debt consolidation,Long Term,774092.0,595251.0,28897.0,,0
46,Home Mortgage,1721457.0,10+ years,0.0,6.0,27.3,263604.0,0.0,6.0,0.0,debt consolidation,Short Term,99999999.0,121353.0,23527.0,723.0,0
47,Own Home,,5 years,0.0,18.0,18.0,1447468.0,0.0,,0.0,debt consolidation,Short Term,215490.0,612541.0,24039.0,,0
48,Home Mortgage,,8 years,0.0,14.0,18.7,252670.0,0.0,29.0,0.0,home improvements,Long Term,323796.0,94696.0,25005.0,,1
49,Rent,,5 years,0.0,8.0,17.0,181742.0,0.0,13.0,0.0,debt consolidation,Short Term,355344.0,108300.0,19012.0,,1
50,Rent,665931.0,3 years,0.0,6.0,22.2,279642.0,0.0,,0.0,debt consolidation,Long Term,220308.0,181127.0,9379.0,716.0,0
51,Home Mortgage,1521672.0,3 years,0.0,12.0,10.4,900878.0,0.0,,0.0,debt consolidation,Short Term,132154.0,242744.0,20416.0,742.0,1
52,Rent,916560.0,3 years,0.0,8.0,9.5,564168.0,0.0,,0.0,debt consolidation,Short Term,265320.0,183198.0,13137.0,744.0,0
53,Home Mortgage,2276808.0,10+ years,0.0,19.0,34.4,1685794.0,0.0,8.0,0.0,debt consolidation,Long Term,768922.0,267881.0,13889.0,707.0,0
54,Home Mortgage,,10+ years,0.0,7.0,17.6,293766.0,1.0,71.0,1.0,debt consolidation,Short Term,175516.0,149948.0,3767.0,,1
55,Rent,,6 years,0.0,7.0,18.0,89100.0,0.0,13.0,0.0,small business,Long Term,130328.0,39235.0,18351.0,,0
56,Rent,1520969.0,10+ years,0.0,7.0,19.2,458590.0,0.0,,0.0,home improvements,Short Term,468138.0,2774.0,12865.0,748.0,0
57,Rent,719549.0,2 years,0.0,7.0,16.3,37290.0,1.0,,0.0,debt consolidation,Long Term,71258.0,27569.0,12592.0,722.0,1
58,Home Mortgage,992845.0,,0.0,17.0,21.2,1132054.0,0.0,,0.0,debt consolidation,Short Term,207812.0,294291.0,25483.0,739.0,0
59,Rent,,< 1 year,0.0,9.0,10.7,642092.0,0.0,,0.0,debt consolidation,Short Term,312026.0,296685.0,13006.0,,1
60,Home Mortgage,1630029.0,,0.0,10.0,17.3,697114.0,0.0,,0.0,debt consolidation,Long Term,230362.0,260680.0,6181.0,714.0,0
61,Home Mortgage,866476.0,1 year,0.0,15.0,12.9,239800.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,130891.0,11770.0,701.0,0
62,Home Mortgage,1670860.0,6 years,0.0,8.0,16.0,233420.0,0.0,61.0,0.0,debt consolidation,Long Term,333564.0,122569.0,23949.0,705.0,0
63,Rent,573762.0,1 year,0.0,7.0,16.6,197120.0,0.0,54.0,0.0,debt consolidation,Short Term,177166.0,114741.0,12671.0,735.0,1
64,Rent,,< 1 year,0.0,10.0,15.6,697642.0,0.0,,0.0,debt consolidation,Short Term,156508.0,398259.0,28077.0,,0
65,Rent,1280125.0,10+ years,0.0,8.0,13.3,362934.0,0.0,,0.0,debt consolidation,Short Term,318582.0,204991.0,16428.0,741.0,1
66,Home Mortgage,,10+ years,0.0,11.0,11.3,693418.0,1.0,,1.0,debt consolidation,Short Term,266398.0,147915.0,21461.0,,0
67,Rent,1269333.0,< 1 year,0.0,7.0,15.8,235510.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,171874.0,5183.0,747.0,0
68,Rent,2157773.0,4 years,0.0,10.0,22.2,660374.0,0.0,13.0,0.0,debt consolidation,Short Term,482152.0,494475.0,39559.0,743.0,0
69,Home Mortgage,1408527.0,2 years,0.0,12.0,17.5,700062.0,0.0,21.0,0.0,other,Long Term,525998.0,174135.0,9320.0,6470.0,1
70,Home Mortgage,613966.0,6 years,0.0,5.0,16.3,96998.0,0.0,,0.0,buy a car,Short Term,148632.0,29982.0,6498.0,744.0,0
71,Rent,,10+ years,0.0,8.0,13.1,797874.0,0.0,,0.0,debt consolidation,Short Term,308616.0,360392.0,35030.0,,0
72,Rent,1140000.0,10+ years,0.0,9.0,16.0,778448.0,0.0,,0.0,debt consolidation,Long Term,462000.0,414808.0,19950.0,725.0,0
73,Home Mortgage,1631644.0,8 years,0.0,9.0,12.1,862422.0,0.0,,0.0,other,Short Term,351670.0,155667.0,4773.0,718.0,1
74,Home Mortgage,1435127.0,< 1 year,0.0,10.0,21.2,1643906.0,0.0,68.0,0.0,debt consolidation,Long Term,443124.0,782268.0,28487.0,674.0,0
75,Own Home,,10+ years,0.0,17.0,32.5,2322650.0,0.0,,0.0,other,Short Term,448184.0,136401.0,29320.0,,0
76,Rent,808298.0,5 years,0.0,12.0,15.7,632170.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,251693.0,8622.0,746.0,0
77,Rent,1164852.0,3 years,0.0,19.0,12.7,276540.0,0.0,,0.0,debt consolidation,Short Term,175340.0,92663.0,12134.0,729.0,1
78,Rent,,1 year,0.0,7.0,9.0,415250.0,0.0,,0.0,debt consolidation,Short Term,174438.0,185402.0,7735.0,,0
79,Rent,985815.0,8 years,0.0,11.0,18.1,227876.0,3.0,51.0,3.0,debt consolidation,Short Term,108504.0,104899.0,10351.0,729.0,1
80,Rent,,10+ years,0.0,6.0,36.8,263934.0,0.0,70.0,0.0,debt consolidation,Long Term,111848.0,60173.0,16918.0,,0
81,Have Mortgage,1112298.0,< 1 year,0.0,7.0,9.0,81598.0,0.0,,0.0,take a trip,Short Term,128788.0,42921.0,15906.0,704.0,1
82,Home Mortgage,1001357.0,6 years,0.0,6.0,16.5,655292.0,0.0,,0.0,debt consolidation,Short Term,109384.0,294291.0,16606.0,745.0,0
83,Rent,1860290.0,3 years,0.0,18.0,16.4,1120218.0,0.0,,0.0,other,Short Term,116314.0,697528.0,49298.0,749.0,0
84,Home Mortgage,2539103.0,6 years,0.0,13.0,17.2,1211430.0,0.0,,0.0,debt consolidation,Short Term,381106.0,636101.0,51205.0,742.0,0
85,Home Mortgage,1301614.0,9 years,0.0,17.0,18.0,9339924.0,0.0,,0.0,debt consolidation,Short Term,592240.0,959899.0,16813.0,748.0,0
86,Home Mortgage,1934884.0,5 years,0.0,9.0,18.0,769604.0,0.0,51.0,0.0,debt consolidation,Short Term,390258.0,429381.0,19188.0,745.0,0
87,Home Mortgage,1533566.0,7 years,0.0,11.0,14.8,715462.0,0.0,19.0,0.0,debt consolidation,Short Term,210826.0,285475.0,18147.0,7440.0,1
88,Home Mortgage,1375068.0,10+ years,0.0,18.0,32.0,2672516.0,0.0,22.0,0.0,debt consolidation,Long Term,741774.0,678585.0,17991.0,729.0,0
89,Home Mortgage,1041675.0,10+ years,0.0,13.0,19.4,551320.0,0.0,16.0,0.0,debt consolidation,Short Term,100144.0,167599.0,12648.0,737.0,0
90,Rent,1304141.0,10+ years,0.0,6.0,12.9,132418.0,1.0,,1.0,other,Short Term,176616.0,97546.0,14237.0,673.0,0
91,Rent,601369.0,10+ years,0.0,6.0,16.9,0.0,0.0,14.0,0.0,debt consolidation,Short Term,165924.0,0.0,9021.0,738.0,0
92,Home Mortgage,1642075.0,10+ years,0.0,12.0,12.9,384736.0,0.0,14.0,0.0,debt consolidation,Short Term,276562.0,275462.0,25863.0,653.0,0
93,Home Mortgage,,10+ years,0.0,18.0,17.9,3028014.0,0.0,,0.0,debt consolidation,Short Term,311168.0,2327443.0,55716.0,,0
94,Rent,1049294.0,3 years,0.0,5.0,6.1,249810.0,0.0,,0.0,business loan,Short Term,337502.0,119529.0,15215.0,7010.0,1
95,Home Mortgage,805828.0,9 years,0.0,8.0,20.5,657360.0,0.0,38.0,0.0,debt consolidation,Short Term,199936.0,250933.0,13565.0,740.0,0
96,Rent,757568.0,5 years,0.0,13.0,11.4,383548.0,0.0,,0.0,debt consolidation,Short Term,210518.0,276583.0,11553.0,7320.0,1
97,Rent,840541.0,6 years,0.0,6.0,14.8,427372.0,0.0,,0.0,business loan,Short Term,99999999.0,1102.0,483.0,751.0,0
98,Rent,1242087.0,,0.0,17.0,20.6,613954.0,1.0,36.0,1.0,debt consolidation,Short Term,196130.0,181336.0,16251.0,711.0,1
99,Rent,,1 year,0.0,9.0,8.9,61358.0,0.0,,0.0,wedding,Short Term,32824.0,14041.0,7879.0,,1
100,Own Home,337079.0,1 year,0.0,9.0,39.6,644204.0,0.0,0.0,,educational expenses,Short Term,99999999.0,224770.0,4326.0,734.0,0
101,Rent,960260.0,10+ years,0.0,10.0,16.3,796312.0,0.0,34.0,0.0,other,Long Term,333564.0,320473.0,16645.0,617.0,0
102,Home Mortgage,708624.0,9 years,0.0,7.0,8.5,576378.0,0.0,,0.0,debt consolidation,Short Term,299376.0,210064.0,6555.0,730.0,0
103,Rent,1510538.0,10+ years,0.0,7.0,18.8,593472.0,0.0,,0.0,debt consolidation,Long Term,405944.0,432060.0,19511.0,724.0,0
104,Rent,1194834.0,3 years,0.0,10.0,31.3,520740.0,0.0,30.0,0.0,debt consolidation,Short Term,99999999.0,332804.0,12148.0,747.0,0
105,Rent,,1 year,0.0,16.0,17.6,1158630.0,0.0,71.0,0.0,home improvements,Short Term,343772.0,218139.0,5996.0,,0
106,Home Mortgage,2454933.0,10+ years,0.0,10.0,22.4,531454.0,0.0,3.0,0.0,debt consolidation,Short Term,437316.0,383249.0,50122.0,730.0,0
107,Rent,,3 years,0.0,14.0,11.9,300740.0,0.0,73.0,0.0,debt consolidation,Short Term,90178.0,157149.0,14324.0,,0
108,Rent,1390306.0,,0.0,7.0,23.9,351516.0,0.0,52.0,0.0,buy house,Short Term,99999999.0,10925.0,9755.0,744.0,0
109,Home Mortgage,2831190.0,3 years,0.0,11.0,16.7,518188.0,0.0,,0.0,debt consolidation,Short Term,393382.0,362938.0,26188.0,741.0,0
110,Rent,1131545.0,3 years,0.0,14.0,14.6,602954.0,0.0,44.0,0.0,debt consolidation,Long Term,99999999.0,216106.0,12258.0,734.0,0
111,Home Mortgage,,2 years,0.0,9.0,13.8,259842.0,0.0,,0.0,debt consolidation,Short Term,151514.0,160455.0,13511.0,,0
112,Home Mortgage,1530640.0,10+ years,0.0,14.0,18.0,283448.0,2.0,61.0,2.0,debt consolidation,Short Term,243694.0,194598.0,15306.0,740.0,0
113,Home Mortgage,902918.0,10+ years,0.0,13.0,15.2,329252.0,0.0,72.0,0.0,debt consolidation,Short Term,222442.0,31559.0,9706.0,738.0,0
114,Rent,1030579.0,< 1 year,0.0,11.0,8.0,141020.0,0.0,,0.0,buy house,Long Term,379698.0,95247.0,10478.0,624.0,1
115,Home Mortgage,2041094.0,3 years,0.0,19.0,16.0,1034616.0,0.0,,0.0,debt consolidation,Short Term,644556.0,455696.0,46945.0,736.0,0
116,Home Mortgage,1039984.0,,0.0,10.0,23.8,147950.0,0.0,63.0,0.0,debt consolidation,Short Term,224246.0,95456.0,13780.0,7390.0,1
117,Home Mortgage,1350083.0,5 years,0.0,10.0,12.2,325490.0,0.0,,0.0,debt consolidation,Long Term,223322.0,168663.0,15076.0,724.0,0
118,Home Mortgage,1637629.0,10+ years,0.0,9.0,17.0,372878.0,0.0,,0.0,debt consolidation,Short Term,460438.0,285323.0,24974.0,724.0,0
119,Rent,566409.0,3 years,0.0,12.0,6.0,288772.0,0.0,,0.0,other,Short Term,109318.0,82308.0,11611.0,667.0,0
120,Home Mortgage,,5 years,0.0,8.0,6.4,405284.0,0.0,23.0,0.0,debt consolidation,Short Term,182336.0,158555.0,21091.0,,0
121,Rent,405346.0,2 years,0.0,10.0,9.8,251900.0,0.0,5.0,0.0,debt consolidation,Short Term,99999999.0,41762.0,7600.0,746.0,0
122,Rent,1217349.0,< 1 year,0.0,10.0,16.7,366498.0,0.0,60.0,0.0,debt consolidation,Short Term,325292.0,298490.0,25361.0,707.0,0
123,Rent,494798.0,6 years,0.0,9.0,10.3,330176.0,0.0,17.0,0.0,debt consolidation,Short Term,176286.0,124602.0,6968.0,694.0,1
124,Home Mortgage,2379047.0,10+ years,0.0,11.0,21.7,1046694.0,0.0,,0.0,debt consolidation,Long Term,749276.0,854240.0,25376.0,679.0,0
125,Home Mortgage,1004207.0,6 years,0.0,10.0,14.8,380248.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,139897.0,12218.0,726.0,0
126,Home Mortgage,2334150.0,2 years,0.0,14.0,17.7,1467620.0,0.0,,0.0,debt consolidation,Short Term,648648.0,996246.0,42987.0,708.0,0
127,Home Mortgage,1933573.0,4 years,0.0,9.0,20.5,847990.0,0.0,,0.0,debt consolidation,Short Term,545336.0,186751.0,12214.0,748.0,0
128,Home Mortgage,1242657.0,10+ years,0.0,15.0,13.2,697004.0,0.0,59.0,0.0,debt consolidation,Long Term,221364.0,164331.0,12841.0,732.0,0
129,Home Mortgage,1191015.0,3 years,0.0,15.0,22.4,1392116.0,0.0,,0.0,debt consolidation,Short Term,497992.0,660041.0,22629.0,739.0,0
130,Have Mortgage,,10+ years,0.0,8.0,33.6,651794.0,0.0,13.0,0.0,take a trip,Short Term,108218.0,401356.0,15390.0,,0
131,Rent,753464.0,< 1 year,0.0,12.0,14.3,516692.0,0.0,,0.0,debt consolidation,Short Term,133056.0,319504.0,10862.0,740.0,0
132,Home Mortgage,1594176.0,10+ years,0.0,8.0,18.0,909018.0,0.0,,0.0,business loan,Long Term,434324.0,372115.0,6509.0,735.0,1
133,Home Mortgage,1878910.0,10+ years,0.0,17.0,21.7,4477858.0,0.0,1.0,0.0,debt consolidation,Short Term,326348.0,1009356.0,16441.0,693.0,0
134,Home Mortgage,564300.0,10+ years,0.0,14.0,19.1,349844.0,1.0,13.0,1.0,debt consolidation,Long Term,326700.0,58007.0,15001.0,668.0,1
135,Rent,,9 years,0.0,11.0,14.1,296692.0,0.0,74.0,0.0,take a trip,Short Term,110792.0,187321.0,19964.0,,0
136,Rent,1219724.0,10+ years,0.0,7.0,18.8,385242.0,0.0,17.0,0.0,other,Long Term,78628.0,159695.0,17971.0,723.0,1
137,Home Mortgage,3694037.0,10+ years,0.0,6.0,23.0,935814.0,0.0,4.0,0.0,debt consolidation,Short Term,137566.0,661922.0,23642.0,724.0,1
138,Rent,1682298.0,3 years,0.0,5.0,12.9,445984.0,0.0,,0.0,debt consolidation,Short Term,151514.0,223782.0,7388.0,748.0,0
139,Home Mortgage,,4 years,0.0,10.0,15.5,209220.0,0.0,8.0,0.0,debt consolidation,Short Term,337502.0,103360.0,18460.0,,0
140,Rent,968924.0,10+ years,0.0,12.0,21.2,196460.0,0.0,35.0,0.0,debt consolidation,Short Term,128370.0,88236.0,10497.0,725.0,1
141,Home Mortgage,,10+ years,0.0,8.0,19.2,359084.0,0.0,72.0,0.0,debt consolidation,Short Term,328482.0,142329.0,26793.0,,0
142,Rent,606062.0,8 years,0.0,11.0,27.3,235620.0,2.0,,2.0,debt consolidation,Short Term,116226.0,105811.0,11566.0,731.0,0
143,Own Home,,10+ years,0.0,6.0,20.4,249392.0,0.0,,0.0,debt consolidation,Short Term,331056.0,152285.0,10321.0,,1
144,Rent,,,0.0,16.0,20.7,612216.0,0.0,42.0,0.0,debt consolidation,Long Term,412852.0,378062.0,25810.0,,1
145,Home Mortgage,1534478.0,4 years,0.0,14.0,15.7,539220.0,0.0,,0.0,debt consolidation,Short Term,325028.0,321784.0,17391.0,748.0,0
146,Home Mortgage,700625.0,,0.0,11.0,20.1,414502.0,1.0,68.0,1.0,debt consolidation,Short Term,99999999.0,156427.0,3912.0,738.0,0
147,Rent,1576791.0,1 year,0.0,6.0,9.7,448954.0,0.0,39.0,0.0,other,Short Term,99999999.0,94221.0,11524.0,748.0,0
148,Home Mortgage,2676758.0,10+ years,0.0,17.0,7.8,1387606.0,0.0,13.0,0.0,debt consolidation,Short Term,99999999.0,293607.0,19183.0,737.0,0
149,Home Mortgage,395124.0,9 years,0.0,16.0,16.5,561462.0,0.0,21.0,0.0,debt consolidation,Short Term,143792.0,207537.0,9582.0,701.0,1
150,Home Mortgage,,10+ years,0.0,12.0,16.8,362032.0,1.0,,1.0,debt consolidation,Short Term,430980.0,229482.0,15794.0,,0
151,Home Mortgage,1440257.0,4 years,0.0,7.0,16.0,1286186.0,0.0,,0.0,business loan,Short Term,99999999.0,242155.0,2953.0,746.0,0
152,Home Mortgage,1026817.0,10+ years,0.0,19.0,20.8,957550.0,0.0,,0.0,debt consolidation,Long Term,345884.0,619419.0,18055.0,7140.0,1
153,Rent,749816.0,9 years,0.0,7.0,14.5,329890.0,0.0,,0.0,buy a car,Short Term,325578.0,207138.0,12934.0,7470.0,1
154,Rent,,3 years,0.0,12.0,13.8,271700.0,0.0,,0.0,debt consolidation,Short Term,307230.0,99484.0,3454.0,,0
155,Home Mortgage,918384.0,10+ years,0.0,10.0,33.7,763906.0,0.0,11.0,0.0,debt consolidation,Short Term,212674.0,502075.0,14388.0,744.0,0
156,Home Mortgage,1988825.0,10+ years,0.0,4.0,14.2,730466.0,0.0,41.0,0.0,debt consolidation,Short Term,614086.0,383553.0,6911.0,737.0,0
157,Rent,2421835.0,3 years,1.0,2.0,23.0,754160.0,1.0,,0.0,debt consolidation,Short Term,232958.0,120498.0,3713.0,749.0,0
158,Rent,901588.0,< 1 year,0.0,5.0,16.0,131230.0,0.0,55.0,0.0,debt consolidation,Long Term,266904.0,88407.0,7566.0,661.0,1
159,Home Mortgage,,4 years,0.0,10.0,20.2,1417042.0,0.0,17.0,0.0,debt consolidation,Short Term,440308.0,671878.0,33841.0,,0
160,Rent,756276.0,2 years,0.0,5.0,16.7,525778.0,0.0,,0.0,other,Long Term,99999999.0,53580.0,1683.0,739.0,0
161,Rent,681435.0,< 1 year,0.0,8.0,18.8,261602.0,0.0,67.0,0.0,debt consolidation,Short Term,169070.0,127870.0,4594.0,742.0,0
162,Home Mortgage,2131591.0,< 1 year,0.0,15.0,31.7,4191176.0,0.0,,0.0,debt consolidation,Short Term,269258.0,3547262.0,20783.0,728.0,0
163,Rent,735528.0,4 years,0.0,11.0,14.3,546920.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,403845.0,15201.0,714.0,0
164,Home Mortgage,2899305.0,10+ years,0.0,15.0,16.6,667480.0,0.0,,0.0,debt consolidation,Long Term,783332.0,328016.0,64751.0,709.0,0
165,Home Mortgage,1951319.0,4 years,0.0,7.0,18.6,601766.0,0.0,,0.0,business loan,Short Term,327888.0,220875.0,13936.0,736.0,0
166,Home Mortgage,4580976.0,4 years,0.0,18.0,25.5,1553530.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,633289.0,94674.0,727.0,0
167,Home Mortgage,1808800.0,5 years,0.0,7.0,23.3,522104.0,1.0,61.0,1.0,debt consolidation,Long Term,436524.0,257013.0,19897.0,717.0,0
168,Home Mortgage,2379522.0,2 years,0.0,23.0,17.8,1267530.0,0.0,37.0,0.0,debt consolidation,Short Term,99999999.0,839629.0,39064.0,743.0,0
169,Home Mortgage,2334226.0,,0.0,13.0,31.4,2170894.0,0.0,,0.0,debt consolidation,Short Term,465234.0,628083.0,30150.0,750.0,0
170,Home Mortgage,664810.0,10+ years,0.0,11.0,21.1,393162.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,117477.0,5651.0,741.0,0
171,Rent,848426.0,10+ years,0.0,10.0,17.9,274934.0,0.0,,0.0,debt consolidation,Short Term,151184.0,163362.0,13221.0,718.0,1
172,Rent,1197323.0,3 years,0.0,17.0,12.0,671176.0,0.0,,0.0,debt consolidation,Short Term,290686.0,213902.0,17660.0,748.0,0
173,Rent,1501855.0,10+ years,0.0,8.0,14.7,372196.0,0.0,8.0,0.0,debt consolidation,Long Term,535084.0,132430.0,28285.0,678.0,0
174,Own Home,708491.0,1 year,0.0,16.0,19.4,559020.0,0.0,21.0,0.0,debt consolidation,Short Term,326524.0,438862.0,20960.0,709.0,1
175,Home Mortgage,1281455.0,5 years,0.0,9.0,20.5,552662.0,0.0,,0.0,debt consolidation,Long Term,541530.0,368486.0,26056.0,675.0,0
176,Own Home,833416.0,10+ years,0.0,7.0,9.5,237138.0,0.0,59.0,0.0,debt consolidation,Short Term,61402.0,58159.0,3091.0,667.0,0
177,Home Mortgage,,10+ years,0.0,16.0,24.5,824428.0,0.0,,0.0,debt consolidation,Short Term,264264.0,317566.0,25942.0,,0
178,Rent,696863.0,7 years,0.0,7.0,7.8,652762.0,0.0,,0.0,other,Short Term,87406.0,187169.0,9872.0,718.0,0
179,Home Mortgage,1094837.0,,0.0,9.0,39.3,611754.0,0.0,,0.0,debt consolidation,Short Term,134420.0,230356.0,17700.0,743.0,0
